"Date","Strain","UV_dose","Survival","Revertant","sibling","allele","genotype"
"220722","KNT-Op51-32",0,490,0,"Op51","B36","set-1 KO"
"220722","KNT-Op51-32",60,439,2,"Op51","B36","set-1 KO"
"220722","KNT-Op51-32",60,505,2,"Op51","B36","set-1 KO"
"220722","KNT-Op51-32",60,432,4,"Op51","B36","set-1 KO"
"220722","KNT-Op51-32",90,449,8,"Op51","B36","set-1 KO"
"220722","KNT-Op51-32",90,480,2,"Op51","B36","set-1 KO"
"220722","KNT-Op51-32",90,479,4,"Op51","B36","set-1 KO"
"220722","KNT-Op51-32",120,451,7,"Op51","B36","set-1 KO"
"220722","KNT-Op51-32",120,427,11,"Op51","B36","set-1 KO"
"220722","KNT-Op51-32",120,183,17,"Op51","B36","set-1 KO"
"220729","KNT-Op46-04",0,723,1,"Op46","OGW1","wild-type"
"220729","KNT-Op46-04",0,793,1,"Op46","OGW1","wild-type"
"220729","KNT-Op46-04",0,721,0,"Op46","OGW1","wild-type"
"220729","KNT-Op46-04",60,773,3,"Op46","OGW1","wild-type"
"220729","KNT-Op46-04",60,762,0,"Op46","OGW1","wild-type"
"220729","KNT-Op46-04",60,697,6,"Op46","OGW1","wild-type"
"220729","KNT-Op46-04",90,689,10,"Op46","OGW1","wild-type"
"220729","KNT-Op46-04",90,796,8,"Op46","OGW1","wild-type"
"220729","KNT-Op46-04",90,647,7,"Op46","OGW1","wild-type"
"220729","KNT-Op46-04",120,636,9,"Op46","OGW1","wild-type"
"220729","KNT-Op46-04",120,699,10,"Op46","OGW1","wild-type"
"220729","KNT-Op46-04",120,660,13,"Op46","OGW1","wild-type"
"220729","KNT-Op46-13",0,779,2,"Op46","OGW1","hH3-K4R"
"220729","KNT-Op46-13",0,767,0,"Op46","OGW1","hH3-K4R"
"220729","KNT-Op46-13",0,727,2,"Op46","OGW1","hH3-K4R"
"220729","KNT-Op46-13",60,652,33,"Op46","OGW1","hH3-K4R"
"220729","KNT-Op46-13",60,743,25,"Op46","OGW1","hH3-K4R"
"220729","KNT-Op46-13",60,656,30,"Op46","OGW1","hH3-K4R"
"220729","KNT-Op46-13",90,697,46,"Op46","OGW1","hH3-K4R"
"220729","KNT-Op46-13",90,671,29,"Op46","OGW1","hH3-K4R"
"220729","KNT-Op46-13",90,664,34,"Op46","OGW1","hH3-K4R"
"220729","KNT-Op46-13",120,570,50,"Op46","OGW1","hH3-K4R"
"220729","KNT-Op46-13",120,640,52,"Op46","OGW1","hH3-K4R"
"220729","KNT-Op46-13",120,513,44,"Op46","OGW1","hH3-K4R"
"220729","KNT-Op55-01",0,845,0,"Op55","OGW1","wild-type"
"220729","KNT-Op55-01",0,885,0,"Op55","OGW1","wild-type"
"220729","KNT-Op55-01",0,789,1,"Op55","OGW1","wild-type"
"220729","KNT-Op55-01",60,725,4,"Op55","OGW1","wild-type"
"220729","KNT-Op55-01",60,839,2,"Op55","OGW1","wild-type"
"220729","KNT-Op55-01",60,780,18,"Op55","OGW1","wild-type"
"220729","KNT-Op55-01",90,803,7,"Op55","OGW1","wild-type"
"220729","KNT-Op55-01",90,880,6,"Op55","OGW1","wild-type"
"220729","KNT-Op55-01",90,844,6,"Op55","OGW1","wild-type"
"220729","KNT-Op55-01",120,689,43,"Op55","OGW1","wild-type"
"220729","KNT-Op55-01",120,862,45,"Op55","OGW1","wild-type"
"220729","KNT-Op55-01",120,715,28,"Op55","OGW1","wild-type"
"220805","KNT-Op47-01",0,931,1,"Op47","B36","wild-type"
"220805","KNT-Op47-01",0,991,1,"Op47","B36","wild-type"
"220805","KNT-Op47-01",0,946,1,"Op47","B36","wild-type"
"220805","KNT-Op47-01",60,903,1,"Op47","B36","wild-type"
"220805","KNT-Op47-01",60,999,1,"Op47","B36","wild-type"
"220805","KNT-Op47-01",60,826,0,"Op47","B36","wild-type"
"220805","KNT-Op47-01",90,627,2,"Op47","B36","wild-type"
"220805","KNT-Op47-01",90,879,2,"Op47","B36","wild-type"
"220805","KNT-Op47-01",90,703,0,"Op47","B36","wild-type"
"220805","KNT-Op47-01",120,668,4,"Op47","B36","wild-type"
"220805","KNT-Op47-01",120,860,0,"Op47","B36","wild-type"
"220805","KNT-Op47-01",120,704,0,"Op47","B36","wild-type"
"220805","KNT-Op47-23",0,855,1,"Op47","B36","hH3-K4R"
"220805","KNT-Op47-23",0,957,0,"Op47","B36","hH3-K4R"
"220805","KNT-Op47-23",0,778,0,"Op47","B36","hH3-K4R"
"220805","KNT-Op47-23",60,921,10,"Op47","B36","hH3-K4R"
"220805","KNT-Op47-23",60,986,6,"Op47","B36","hH3-K4R"
"220805","KNT-Op47-23",60,919,4,"Op47","B36","hH3-K4R"
"220805","KNT-Op47-23",90,715,8,"Op47","B36","hH3-K4R"
"220805","KNT-Op47-23",90,757,11,"Op47","B36","hH3-K4R"
"220805","KNT-Op47-23",90,721,12,"Op47","B36","hH3-K4R"
"220805","KNT-Op47-23",120,813,43,"Op47","B36","hH3-K4R"
"220805","KNT-Op47-23",120,822,15,"Op47","B36","hH3-K4R"
"220805","KNT-Op47-23",120,765,16,"Op47","B36","hH3-K4R"
"220805","KNT-Op51-17",0,831,0,"Op51","B36","wild-type"
"220805","KNT-Op51-17",0,895,0,"Op51","B36","wild-type"
"220805","KNT-Op51-17",0,828,0,"Op51","B36","wild-type"
"220805","KNT-Op51-17",60,618,1,"Op51","B36","wild-type"
"220805","KNT-Op51-17",60,799,0,"Op51","B36","wild-type"
"220805","KNT-Op51-17",60,683,2,"Op51","B36","wild-type"
"220805","KNT-Op51-17",90,791,1,"Op51","B36","wild-type"
"220805","KNT-Op51-17",90,864,2,"Op51","B36","wild-type"
"220805","KNT-Op51-17",90,751,2,"Op51","B36","wild-type"
"220805","KNT-Op51-17",120,243,1,"Op51","B36","wild-type"
"220805","KNT-Op51-17",120,869,1,"Op51","B36","wild-type"
"220805","KNT-Op51-17",120,679,1,"Op51","B36","wild-type"
"220805","KNT-Op51-32",0,631,2,"Op51","B36","set-1 KO"
"220805","KNT-Op51-32",0,690,0,"Op51","B36","set-1 KO"
"220805","KNT-Op51-32",0,624,0,"Op51","B36","set-1 KO"
"220805","KNT-Op51-32",60,655,15,"Op51","B36","set-1 KO"
"220805","KNT-Op51-32",60,673,9,"Op51","B36","set-1 KO"
"220805","KNT-Op51-32",60,628,11,"Op51","B36","set-1 KO"
"220805","KNT-Op51-32",90,550,14,"Op51","B36","set-1 KO"
"220805","KNT-Op51-32",90,636,13,"Op51","B36","set-1 KO"
"220805","KNT-Op51-32",90,567,9,"Op51","B36","set-1 KO"
"220805","KNT-Op51-32",120,498,20,"Op51","B36","set-1 KO"
"220805","KNT-Op51-32",120,550,20,"Op51","B36","set-1 KO"
"220805","KNT-Op51-32",120,519,17,"Op51","B36","set-1 KO"
"220812","KNT-Op46-04",0,795,0,"Op46","OGW1","wild-type"
"220812","KNT-Op46-04",0,897,1,"Op46","OGW1","wild-type"
"220812","KNT-Op46-04",0,839,0,"Op46","OGW1","wild-type"
"220812","KNT-Op46-04",60,922,0,"Op46","OGW1","wild-type"
"220812","KNT-Op46-04",60,887,1,"Op46","OGW1","wild-type"
"220812","KNT-Op46-04",60,907,5,"Op46","OGW1","wild-type"
"220812","KNT-Op46-04",90,857,7,"Op46","OGW1","wild-type"
"220812","KNT-Op46-04",90,766,10,"Op46","OGW1","wild-type"
"220812","KNT-Op46-04",90,848,4,"Op46","OGW1","wild-type"
"220812","KNT-Op46-04",120,779,3,"Op46","OGW1","wild-type"
"220812","KNT-Op46-04",120,791,9,"Op46","OGW1","wild-type"
"220812","KNT-Op46-04",120,782,7,"Op46","OGW1","wild-type"
"220812","KNT-Op55-01",0,801,2,"Op55","OGW1","wild-type"
"220812","KNT-Op55-01",0,894,3,"Op55","OGW1","wild-type"
"220812","KNT-Op55-01",0,916,0,"Op55","OGW1","wild-type"
"220812","KNT-Op55-01",60,916,3,"Op55","OGW1","wild-type"
"220812","KNT-Op55-01",60,786,8,"Op55","OGW1","wild-type"
"220812","KNT-Op55-01",60,854,5,"Op55","OGW1","wild-type"
"220812","KNT-Op55-01",90,912,7,"Op55","OGW1","wild-type"
"220812","KNT-Op55-01",90,846,6,"Op55","OGW1","wild-type"
"220812","KNT-Op55-01",90,748,10,"Op55","OGW1","wild-type"
"220812","KNT-Op55-01",120,763,12,"Op55","OGW1","wild-type"
"220812","KNT-Op55-01",120,809,7,"Op55","OGW1","wild-type"
"220812","KNT-Op55-01",120,900,16,"Op55","OGW1","wild-type"
"220826","KNT-Op47-01",0,865,0,"Op47","B36","wild-type"
"220826","KNT-Op47-01",0,928,0,"Op47","B36","wild-type"
"220826","KNT-Op47-01",0,919,0,"Op47","B36","wild-type"
"220826","KNT-Op47-01",60,823,2,"Op47","B36","wild-type"
"220826","KNT-Op47-01",60,850,2,"Op47","B36","wild-type"
