Date,Strain,UV_dose,Survival,Revertant
220826,KNT-Op47-01,90,877,1
220826,KNT-Op47-01,90,895,0
220826,KNT-Op47-01,90,783,0
220826,KNT-Op47-01,120,719,0
220826,KNT-Op47-01,120,686,0
220826,KNT-Op47-01,120,799,0
220826,KNT-Op47-23,0,876,0
220826,KNT-Op47-23,0,874,0
220826,KNT-Op47-23,0,859,0
220826,KNT-Op47-23,60,877,2
220826,KNT-Op47-23,60,875,3
220826,KNT-Op47-23,60,867,4
220826,KNT-Op47-23,90,671,0
220826,KNT-Op47-23,90,743,3
220826,KNT-Op47-23,90,725,4
220826,KNT-Op47-23,120,759,5
220826,KNT-Op47-23,120,774,1
220826,KNT-Op47-23,120,738,1
220826,KNT-Op51-17,0,814,0
220826,KNT-Op51-17,0,915,0
220826,KNT-Op51-17,0,905,0
220826,KNT-Op51-17,60,832,0
220826,KNT-Op51-17,60,898,2
220826,KNT-Op51-17,60,848,2
220826,KNT-Op51-17,90,861,1
220826,KNT-Op51-17,90,893,5
220826,KNT-Op51-17,90,633,0
220826,KNT-Op51-17,120,797,6
220826,KNT-Op51-17,120,763,5
220826,KNT-Op51-17,120,782,3
220826,KNT-Op51-32,0,709,0
220826,KNT-Op51-32,0,779,0
220826,KNT-Op51-32,0,689,0
220826,KNT-Op51-32,60,430,3
220826,KNT-Op51-32,60,585,4
220826,KNT-Op51-32,60,577,9
220826,KNT-Op51-32,90,650,7
220826,KNT-Op51-32,90,577,3
220826,KNT-Op51-32,90,618,11
220826,KNT-Op51-32,120,486,9
220826,KNT-Op51-32,120,520,4
220826,KNT-Op51-32,120,458,3
220902,KNT-Op46-13,0,684,1
220902,KNT-Op46-13,0,726,0
220902,KNT-Op46-13,0,726,1
220902,KNT-Op46-13,60,563,13
220902,KNT-Op46-13,60,686,27
220902,KNT-Op46-13,60,567,15
220902,KNT-Op46-13,90,535,23
220902,KNT-Op46-13,90,580,18
220902,KNT-Op46-13,90,558,31
220902,KNT-Op46-13,120,477,20
220902,KNT-Op46-13,120,483,24
220902,KNT-Op46-13,120,437,30
220902a,KNT-Op46-13,0,565,0
220902a,KNT-Op46-13,0,680,0
220902a,KNT-Op46-13,0,634,2
220902a,KNT-Op46-13,60,529,26
220902a,KNT-Op46-13,60,704,18
220902a,KNT-Op46-13,60,565,17
220902a,KNT-Op46-13,90,498,21
220902a,KNT-Op46-13,90,545,24
220902a,KNT-Op46-13,90,516,23
220902a,KNT-Op46-13,120,443,24
220902a,KNT-Op46-13,120,520,18
220902a,KNT-Op46-13,120,425,22
220902,KNT-Op55-25,0,624,6
220902,KNT-Op55-25,0,660,1
220902,KNT-Op55-25,0,581,2
220902,KNT-Op55-25,60,565,12
220902,KNT-Op55-25,60,553,16
220902,KNT-Op55-25,60,582,17
220902,KNT-Op55-25,90,506,23
220902,KNT-Op55-25,90,537,29
220902,KNT-Op55-25,90,554,19
220902,KNT-Op55-25,120,576,16
220902,KNT-Op55-25,120,571,21
220902,KNT-Op55-25,120,496,18
220902a,KNT-Op55-25,0,481,2
220902a,KNT-Op55-25,0,502,2
220902a,KNT-Op55-25,0,500,0
220902a,KNT-Op55-25,60,455,17
220902a,KNT-Op55-25,60,502,15
220902a,KNT-Op55-25,60,491,11
220902a,KNT-Op55-25,90,395,20
220902a,KNT-Op55-25,90,438,21
220902a,KNT-Op55-25,90,412,24
220902a,KNT-Op55-25,120,387,15
220902a,KNT-Op55-25,120,401,17
220902a,KNT-Op55-25,120,402,13
220902b,KNT-Op55-25,0,656,1
220902b,KNT-Op55-25,0,752,3
220902b,KNT-Op55-25,0,644,4
220902b,KNT-Op55-25,60,569,16
